cisp,mes,ano,aisp,risp,total
24,5,2016,3,1,0
24,6,2016,3,1,0
24,7,2016,3,1,0
24,8,2016,3,1,0
24,9,2016,3,1,0
24,10,2016,3,1,1
24,11,2016,3,1,0
24,12,2016,3,1,0
25,1,2016,3,1,1
25,2,2016,3,1,4
25,3,2016,3,1,0
25,4,2016,3,1,2
25,5,2016,3,1,1
25,6,2016,3,1,2
25,7,2016,3,1,0
25,8,2016,3,1,1
25,9,2016,3,1,1
25,10,2016,3,1,1
25,11,2016,3,1,0
25,12,2016,3,1,0
26,1,2016,3,1,1
26,2,2016,3,1,1
26,3,2016,3,1,0
26,4,2016,3,1,0
26,5,2016,3,1,0
26,6,2016,3,1,1
26,7,2016,3,1,1
26,8,2016,3,1,1
26,9,2016,3,1,3
26,10,2016,3,1,1
26,11,2016,3,1,2
26,12,2016,3,1,0
27,1,2016,41,2,0
27,2,2016,41,2,1
27,3,2016,41,2,2
27,4,2016,41,2,0
27,5,2016,41,2,1
27,6,2016,41,2,0
27,7,2016,41,2,0
27,8,2016,41,2,1
27,9,2016,41,2,2
27,10,2016,41,2,0
27,11,2016,41,2,0
27,12,2016,41,2,0
28,1,2016,9,2,0
28,2,2016,9,2,0
28,3,2016,9,2,0
28,4,2016,9,2,0
28,5,2016,9,2,1
28,6,2016,9,2,0
28,7,2016,9,2,2
28,8,2016,9,2,0
28,9,2016,9,2,1
28,10,2016,9,2,1
28,11,2016,9,2,0
28,12,2016,9,2,3
29,1,2016,9,2,0
29,2,2016,9,2,1
29,3,2016,9,2,1
29,4,2016,9,2,2
29,5,2016,9,2,2
29,6,2016,9,2,2
29,7,2016,9,2,0
29,8,2016,9,2,0
29,9,2016,9,2,2
29,10,2016,9,2,1
29,11,2016,9,2,0
29,12,2016,9,2,0
30,1,2016,9,2,0
30,2,2016,9,2,0
30,3,2016,9,2,0
30,4,2016,9,2,0
30,5,2016,9,2,1
30,6,2016,9,2,0
30,7,2016,9,2,0
30,8,2016,9,2,1
30,9,2016,9,2,1
30,10,2016,9,2,0
30,11,2016,9,2,2
30,12,2016,9,2,0
31,1,2016,41,2,1
31,2,2016,41,2,0
31,3,2016,41,2,0
31,4,2016,41,2,0
31,5,2016,41,2,0
31,6,2016,41,2,0
31,7,2016,41,2,0
31,8,2016,41,2,0
31,9,2016,41,2,0
31,10,2016,41,2,0
31,11,2016,41,2,1
31,12,2016,41,2,0
32,1,2016,18,2,1
32,2,2016,18,2,1
32,3,2016,18,2,5
32,4,2016,18,2,1
32,5,2016,18,2,0
32,6,2016,18,2,1
32,7,2016,18,2,0
32,8,2016,18,2,3
32,9,2016,18,2,0
32,10,2016,18,2,0
32,11,2016,18,2,4
32,12,2016,18,2,2
33,1,2016,14,2,1
33,2,2016,14,2,0
33,3,2016,14,2,2
33,4,2016,14,2,1
33,5,2016,14,2,2
33,6,2016,14,2,2
33,7,2016,14,2,0
33,8,2016,14,2,5
33,9,2016,14,2,0
33,10,2016,14,2,1
33,11,2016,14,2,1
33,12,2016,14,2,1
34,1,2016,14,2,0
34,2,2016,14,2,1
34,3,2016,14,2,2
34,4,2016,14,2,2
34,5,2016,14,2,131
34,6,2016,14,2,1
34,7,2016,14,2,1
34,8,2016,14,2,5
34,9,2016,14,2,3
34,10,2016,14,2,0
34,11,2016,14,2,1
34,12,2016,14,2,5
35,1,2016,40,2,4
35,2,2016,40,2,1
35,3,2016,40,2,5
35,4,2016,40,2,4
35,5,2016,40,2,7
35,6,2016,40,2,5
35,7,2016,40,2,6
35,8,2016,40,2,3
35,9,2016,40,2,3
35,10,2016,40,2,0
35,11,2016,40,2,3
35,12,2016,40,2,1
36,1,2016,27,2,1
36,2,2016,27,2,2
36,3,2016,27,2,2
36,4,2016,27,2,0
36,5,2016,27,2,1
36,6,2016,27,2,3
36,7,2016,27,2,0
36,8,2016,27,2,0
36,9,2016,27,2,1
36,10,2016,27,2,1
36,11,2016,27,2,0
36,12,2016,27,2,0
37,1,2016,17,1,1
37,2,2016,17,1,0
37,3,2016,17,1,0
37,4,2016,17,1,2
37,5,2016,17,1,0
37,6,2016,17,1,0
37,7,2016,17,1,2
37,8,2016,17,1,3
37,9,2016,17,1,3
37,10,2016,17,1,1
37,11,2016,17,1,0
37,12,2016,17,1,0
38,1,2016,16,1,1
38,2,2016,16,1,0
38,3,2016,16,1,2
38,4,2016,16,1,4
38,5,2016,16,1,1
38,6,2016,16,1,3
38,7,2016,16,1,0
38,8,2016,16,1,0
38,9,2016,16,1,1
38,10,2016,16,1,0
38,11,2016,16,1,0
38,12,2016,16,1,0
39,1,2016,41,2,0
39,2,2016,41,2,1
39,3,2016,41,2,2
39,4,2016,41,2,3
39,5,2016,41,2,0
39,6,2016,41,2,0
39,7,2016,41,2,0
39,8,2016,41,2,1
39,9,2016,41,2,0
39,10,2016,41,2,0
39,11,2016,41,2,2
39,12,2016,41,2,0
40,1,2016,9,2,0
40,2,2016,9,2,0
40,3,2016,9,2,0
40,4,2016,9,2,1
40,5,2016,9,2,1
40,6,2016,9,2,1
40,7,2016,9,2,2
40,8,2016,9,2,0
40,9,2016,9,2,0
40,10,2016,9,2,1
40,11,2016,9,2,0
40,12,2016,9,2,0
41,1,2016,18,2,1
41,2,2016,18,2,1
41,3,2016,18,2,1
41,4,2016,18,2,0
41,5,2016,18,2,0
41,6,2016,18,2,1
41,7,2016,18,2,1
41,8,2016,18,2,1
41,9,2016,18,2,0
