cisp,mes,ano,aisp,risp,armadilha_explosiva,armadilha_incendiaria,bomba_fabricacao_caseira,granada,material_belico_explosivo,material_explosivo,material_explosivo_caseiro,material_nao_identificado,total
12,12,2012,19,1,0,0,0,0,0,0,0,0,0
13,1,2012,19,1,0,0,0,0,0,0,0,0,0
13,2,2012,19,1,0,0,0,0,0,0,0,0,0
13,3,2012,19,1,0,0,0,0,0,0,0,0,0
13,4,2012,19,1,0,0,0,0,0,0,0,0,0
13,5,2012,19,1,0,0,1,0,0,0,0,0,1
13,6,2012,19,1,0,0,0,0,0,0,0,0,0
13,7,2012,19,1,0,0,0,0,0,0,0,0,0
13,8,2012,19,1,0,0,0,0,0,0,0,0,0
13,9,2012,19,1,0,0,0,0,0,0,0,0,0
13,10,2012,19,1,0,0,0,0,0,0,0,0,0
13,11,2012,19,1,0,0,0,0,0,0,0,0,0
13,12,2012,19,1,0,0,0,0,0,0,0,0,0
14,1,2012,23,1,0,0,0,0,0,0,0,0,0
14,2,2012,23,1,0,0,0,0,0,0,0,0,0
14,3,2012,23,1,0,0,0,0,0,0,0,0,0
14,4,2012,23,1,0,0,0,0,0,0,0,0,0
14,5,2012,23,1,0,0,0,0,0,0,0,0,0
14,6,2012,23,1,0,0,0,1,0,0,0,0,1
14,7,2012,23,1,0,0,0,0,0,0,0,0,0
14,8,2012,23,1,0,0,0,0,0,0,0,0,0
14,9,2012,23,1,0,0,0,0,0,0,0,0,0
14,10,2012,23,1,0,0,0,0,0,0,0,0,0
14,11,2012,23,1,0,0,0,1,0,0,0,0,1
14,12,2012,23,1,0,0,0,0,0,0,0,0,0
15,1,2012,23,1,0,0,1,0,0,0,0,0,1
15,2,2012,23,1,0,0,0,0,0,0,0,0,0
15,3,2012,23,1,0,0,0,3,0,0,0,0,3
15,4,2012,23,1,0,0,0,1,0,0,0,0,1
15,5,2012,23,1,0,0,0,2,0,1,0,0,3
15,6,2012,23,1,0,0,0,0,0,0,0,0,0
15,7,2012,23,1,0,0,0,5,14,0,0,0,19
15,8,2012,23,1,0,0,0,0,0,0,0,0,0
15,9,2012,23,1,0,0,0,3,0,0,0,0,3
15,10,2012,23,1,0,0,0,0,0,0,0,0,0
15,11,2012,23,1,0,0,0,1,0,0,0,0,1
15,12,2012,23,1,0,0,0,0,0,0,0,0,0
16,1,2012,31,2,0,0,0,0,0,0,0,0,0
16,2,2012,31,2,0,0,0,0,0,0,0,0,0
16,3,2012,31,2,0,0,0,0,0,0,0,0,0
16,4,2012,31,2,0,0,0,0,0,0,0,0,0
16,5,2012,31,2,0,0,0,1,0,0,0,0,1
16,6,2012,31,2,0,0,0,0,0,0,0,0,0
16,7,2012,31,2,0,0,0,0,0,0,0,0,0
16,8,2012,31,2,0,0,0,0,0,0,0,0,0
16,9,2012,31,2,0,0,0,1,0,0,0,0,1
16,10,2012,31,2,0,0,0,0,0,0,0,0,0
16,11,2012,31,2,0,0,0,0,0,0,0,0,0
16,12,2012,31,2,0,0,0,0,0,0,0,0,0
17,1,2012,4,1,0,0,2,1,0,0,0,0,3
17,2,2012,4,1,0,0,0,2,0,0,0,0,2
17,3,2012,4,1,0,0,3,1,0,0,0,0,4
17,4,2012,4,1,0,0,0,1,0,0,0,0,1
17,5,2012,4,1,0,0,0,1,0,0,0,0,1
17,6,2012,4,1,0,0,0,0,0,0,0,0,0
17,7,2012,4,1,0,0,0,0,0,0,0,0,0
17,8,2012,4,1,0,0,0,0,0,0,0,0,0
17,9,2012,4,1,0,0,0,1,0,0,0,0,1
17,10,2012,4,1,0,0,0,1,0,0,0,0,1
17,11,2012,4,1,0,0,0,0,0,0,0,0,0
17,12,2012,4,1,0,0,0,0,0,0,0,0,0
18,1,2012,4,1,0,0,0,0,0,0,0,0,0
18,2,2012,4,1,0,0,0,0,0,0,0,0,0
18,3,2012,4,1,0,0,0,0,0,0,0,0,0
18,4,2012,4,1,0,0,0,0,0,0,0,0,0
18,5,2012,4,1,0,0,0,0,0,0,0,0,0
18,6,2012,4,1,0,0,0,0,0,0,0,0,0
18,7,2012,4,1,0,0,0,0,0,0,0,0,0
18,8,2012,4,1,0,0,0,0,0,0,0,0,0
18,9,2012,4,1,0,0,0,0,0,0,0,0,0
18,10,2012,4,1,0,0,0,0,0,0,0,0,0
18,11,2012,4,1,0,0,0,0,0,0,0,0,0
18,12,2012,4,1,0,0,0,0,0,0,0,0,0
19,1,2012,6,1,0,0,0,0,0,0,0,0,0
19,2,2012,6,1,0,0,0,0,0,0,0,0,0
19,3,2012,6,1,0,0,0,0,0,0,0,0,0
19,4,2012,6,1,0,0,0,0,0,0,0,0,0
19,5,2012,6,1,0,0,0,0,0,0,0,0,0
19,6,2012,6,1,0,0,0,0,0,0,0,0,0
19,7,2012,6,1,0,0,0,0,0,0,0,0,0
19,8,2012,6,1,0,0,0,0,0,0,0,0,0
19,9,2012,6,1,0,0,0,0,0,0,0,0,0
19,10,2012,6,1,0,0,0,0,0,0,0,0,0
19,11,2012,6,1,0,0,0,0,0,0,0,0,0
19,12,2012,6,1,0,0,0,0,0,0,0,0,0
20,1,2012,6,1,0,0,0,0,0,0,0,0,0
20,2,2012,6,1,0,0,0,0,0,0,0,0,0
20,3,2012,6,1,0,0,0,0,0,0,0,0,0
20,4,2012,6,1,0,0,0,0,0,0,0,0,0
20,5,2012,6,1,0,0,0,0,0,1,0,0,1
20,6,2012,6,1,0,0,0,0,0,0,0,0,0
20,7,2012,6,1,0,0,0,1,0,0,0,0,1
20,8,2012,6,1,0,0,0,0,0,0,0,0,0
20,9,2012,6,1,0,0,0,0,0,0,0,0,0
20,10,2012,6,1,0,0,0,0,0,0,0,0,0
20,11,2012,6,1,0,0,0,0,0,0,0,0,0
20,12,2012,6,1,0,0,0,0,0,0,0,0,0
21,1,2012,22,1,0,0,2,4,0,0,0,0,6
21,2,2012,22,1,0,0,1,1,0,0,0,0,2
21,3,2012,22,1,0,0,0,2,0,0,0,0,2
21,4,2012,22,1,0,0,0,2,0,0,0,0,2
21,5,2012,22,1,0,0,0,0,0,0,0,0,0
21,6,2012,22,1,0,0,0,3,0,0,0,0,3
21,7,2012,22,1,0,0,0,2,0,0,0,0,2
21,8,2012,22,1,0,0,26,8,0,0,0,0,34
21,9,2012,22,1,0,0,0,3,1,0,0,0,4
21,10,2012,22,1,0,0,0,4,0,0,0,0,4
21,11,2012,22,1,0,0,0,5,0,0,0,0,5
21,12,2012,22,1,0,0,1,6,0,0,0,0,7
22,1,2012,16,1,0,0,0,0,0,0,0,0,0
22,2,2012,16,1,0,0,0,0,0,0,0,0,0
22,3,2012,16,1,0,0,0,0,0,0,0,0,0
22,4,2012,16,1,0,0,0,1,0,0,0,0,1
22,5,2012,16,1,0,0,0,1,0,0,0,0,1
22,6,2012,16,1,0,0,0,1,0,0,0,0,1
22,7,2012,16,1,0,0,2,5,0,0,0,0,7
22,8,2012,16,1,0,0,0,4,0,11,0,0,15
22,9,2012,16,1,0,0,2,0,0,0,0,0,2
22,10,2012,16,1,0,0,0,1,0,0,0,0,1
22,11,2012,16,1,0,0,0,1,0,0,0,0,1
22,12,2012,16,1,0,0,0,2,0,6,0,0,8
23,1,2012,3,1,0,0,0,0,0,0,0,0,0
23,2,2012,3,1,0,0,0,0,0,0,0,0,0
23,3,2012,3,1,0,0,0,0,0,0,0,0,0
23,4,2012,3,1,0,0,0,0,0,0,0,0,0
23,5,2012,3,1,0,0,0,1,0,0,0,0,1
23,6,2012,3,1,0,0,0,0,0,0,0,0,0
23,7,2012,3,1,0,0,0,0,0,0,0,0,0
23,8,2012,3,1,0,0,0,0,0,0,0,0,0
23,9,2012,3,1,0,0,0,0,0,0,0,0,0
23,10,2012,3,1,0,0,0,0,0,0,0,0,0
23,11,2012,3,1,0,0,0,0,0,0,0,0,0
23,12,2012,3,1,0,0,0,0,0,0,0,0,0
24,1,2012,3,1,0,0,0,0,0,0,0,0,0
24,2,2012,3,1,0,0,0,0,0,0,0,0,0
